datetime,timestamp,open,high,low,close,volume,rsi,max_price,min_price,fib_23.6,fib_38.2,fib_50.0,fib_61.8,fib_78.6
2024-02-08,1707350400000,44349.6,45614.3,44331.1,45288.65,45439.62231,64.99924098649016,45614.3,38555.0,43948.3052,42917.6474,42084.65,41251.6526,40065.6902
2024-02-09,1707436800000,45288.66,48200.0,45242.12,47132.77,73503.481,71.43219636073444,48200.0,38555.0,45923.78,44515.61,43377.5,42239.39,40619.03
2024-02-10,1707523200000,47132.78,48170.0,46800.0,47751.09,24802.35936,73.21011823388146,48200.0,38555.0,45923.78,44515.61,43377.5,42239.39,40619.03
2024-02-11,1707609600000,47751.08,48592.66,47557.16,48299.99,29958.80837,74.71454552998037,48592.66,38555.0,46223.772240000006,44758.27388,43573.83,42389.38612,40703.05924
2024-02-12,1707696000000,48300.0,50334.82,47710.01,49917.27,59009.96705,78.53868262442984,50334.82,39484.19,47774.07132,46189.87934,44909.505000000005,43629.13066,41806.22482
2024-02-13,1707782400000,49917.28,50368.61,48300.95,49699.59,55551.56706,76.85388966809195,50368.61,39550.0,47815.418040000004,46235.90098,44959.305,43682.70902,41865.18254
2024-02-14,1707868800000,49699.6,52043.71,49225.01,51795.17,57046.37401,81.06501598109283,52043.71,39822.52,49159.50916,47375.21542,45933.115,44491.014579999995,42437.85466
2024-02-15,1707955200000,51795.17,52816.62,51314.0,51880.0,53816.03055,81.21401524413096,52816.62,41394.34,50120.96192,48453.30904,47105.479999999996,45757.65096,43838.70792
2024-02-16,1708041600000,51880.01,52572.08,51566.0,52124.11,37772.25318,81.66122401244475,52816.62,41620.81,50174.408840000004,48539.82058,47218.715,45897.60942,44016.71334
2024-02-17,1708128000000,52124.1,52162.82,50625.0,51642.64,25674.00622,77.7308135940547,52816.62,41804.88,50217.84936,48610.13532,47310.75,46011.36468,44161.39236
2024-02-18,1708214400000,51642.64,52377.0,51163.28,52137.67,21992.10363,78.8575548594747,52816.62,41884.28,50236.58776,48640.46612,47350.45,46060.43388,44223.80076
2024-02-19,1708300800000,52137.68,52488.77,51677.0,51774.73,29534.99432,75.82827749663595,52816.62,41884.28,50236.58776,48640.46612,47350.45,46060.43388,44223.80076
2024-02-20,1708387200000,51774.74,52985.0,50760.37,52258.82,49614.47318,77.09229551434237,52985.0,41884.28,50365.23008,48744.52496,47434.64,46124.75504,44259.83408
2024-02-21,1708473600000,52258.82,52366.8,50625.0,51849.39,43079.40049,73.58730539179412,52985.0,42222.0,50444.932,48873.534,47603.5,46333.466,44525.282
2024-02-22,1708560000000,51849.38,52065.78,50940.78,51288.42,35309.44574,68.96110250443095,52985.0,42222.0,50444.932,48873.534,47603.5,46333.466,44525.282
2024-02-23,1708646400000,51288.42,51548.54,50521.0,50744.15,30545.79544,64.71044966523142,52985.0,42222.0,50444.932,48873.534,47603.5,46333.466,44525.282
